Play_num,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,unique_ID,event_gameID_timenum,HOMEDESCRIPTION,PLAYER1_NAME,PLAYER1_TEAM,PCTIMESTRING,PERIOD,VISITORDESCRIPTION,Score,Score_Margin,OT Game,Home_Win,time_decimals,timenum,scoremargin>10,Timeout,home_time_dummy,visitor_time_dummy,Play_after_timeout,PLAYER1_NAME,Shot Type,Makes,Base Points,Points,FT Made,PLAYER1_TEAM,Distance,Block,Steal,Defensive Player,Defensive Player Team,,,,
506,79,2,734,21800002,506-21800002,21800002-44-2,,Dennis Schroder,OKC,00:44,4,MISS Schroder 28' 3PT Pullup Jump Shot,99 - 104,5,No,1,0.0306,44,No,0,0,0,,Dennis Schroder,3 PT Shot,,0,0,,OKC,28,,,,,,,,
507,0,4,735,21800002,507-21800002,21800002-43-4,WARRIORS Rebound,,,00:43,4,,99 - 104,5,No,1,0.0299,43,No,0,0,0,,,,,0,0,,,,,,,,,,,
508,101,1,737,21800002,508-21800002,21800002-24-1,Durant 6' Driving Floating Jump Shot (25 PTS) (Curry 9 AST),Kevin Durant,GSW,00:24,4,,99 - 106,7,No,1,0.0167,24,No,0,0,0,,Kevin Durant,Jump Shot,,2,2,,GSW,6,,,,,,,,
509,1,9,739,21800002,509-21800002,21800002-24-9,,,,00:24,4,Thunder Timeout: Regular (Reg.6 Short 0),99 - 106,7,No,1,0.0167,24,No,1,0,1,,,,,0,0,,,,,,,,,,,
510,0,8,740,21800002,510-21800002,21800002-24-8,,Jerami Grant,OKC,00:24,4,SUB: Patterson FOR Grant,99 - 106,7,No,1,0.0167,24,No,0,0,0,,Jerami Grant,,,0,0,,OKC,,,,,,,,,
511,0,8,741,21800002,511-21800002,21800002-24-8,,Terrance Ferguson,OKC,00:24,4,SUB: Abrines FOR Ferguson,99 - 106,7,No,1,0.0167,24,No,0,0,0,,Terrance Ferguson,,,0,0,,OKC,,,,,,,,,
512,0,10,744,21800002,512-21800002,21800002-15-10,Jump Ball Green vs. Schroder: Tip to Durant,Draymond Green,GSW,00:15,4,,99 - 106,7,No,1,0.0104,15,No,0,0,0,,Draymond Green,,,0,0,,GSW,,,,,,,,,
513,2,5,747,21800002,513-21800002,21800002-15-5,Green STEAL (3 STL),Dennis Schroder,OKC,00:15,4,Schroder Lost Ball Turnover (P3.T15),99 - 106,7,No,1,0.0104,15,No,0,0,0,Turnover,Dennis Schroder,,,0,0,,OKC,,,1,Draymond Green,GSW,,,,
514,1,6,749,21800002,514-21800002,21800002-14-6,,Alex Abrines,OKC,00:14,4,Abrines P.FOUL (P2.PN) (G.Petraitis),99 - 106,7,No,1,0.0097,14,No,0,0,0,,Alex Abrines,,,0,0,,OKC,,,,,,,,,
515,11,3,751,21800002,515-21800002,21800002-14-3,Durant Free Throw 1 of 2 (26 PTS),Kevin Durant,GSW,00:14,4,,99 - 107,8,No,1,0.0097,14,No,0,0,0,,Kevin Durant,Free Throw,,1,1,,GSW,19,,,,,,,,
